,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bhutan,0,0,0,0,0,0,0.3,1.2,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.9,1.8,1.8,1.8,1.8,1.9,2.2,2.5,2.3,2.6,4.5,6.5,6.9,6.9,7.3,7,6.7,7.5,7.2,7.7,7.9,7.7,6.9,9,9,9
Bolivia,1.6,1.7,1.6,1.7,1.5,1.5,1.6,1.6,1.9,2,2.2,2.3,2.3,2.4,2.7,2.9,3.1,3.3,3.5,3.7,3.8,3.9,4,4.2,4.4,4.7,5.1,5.6,5.6,5.9,6.4,6.9,7.3,7.6,8.1,8.7,8.8,9.2,9.4,10,9.8,10.6
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,6.3,3.2,4.1,4.3,7.2,8.5,9.3,10.2,10,10.2,10.4,10.9,12.2,12.1,12.8,11.3,14.2,15.1,16.5,14.3,13.5,16.8,15.5,15,16.6,15.8,18.5,16.3,15.9,17.2
Botswana,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.8,0.8,0.8,0.9,0.9,1.1,1,1,1,0.8,0.9,1,1,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.6,0.6,0.4,0.5,0.4,0.3,0.9,2.2,2.8,2.5,2.8,3,3,2,2.2
Brazil,137.9,139.7,150,160.4,178.1,191,199.1,199.9,212.3,218.5,220.4,231.4,238.7,249.4,257,272.4,287.3,305,318.1,328.8,341.9,323,341,359,381,396.2,412,438,455,459,511,527,547,564,582,572,572,582,594,619,614,663
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Brunei,0.4,0.5,0.5,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.3,1.5,1.6,1.8,2,2.3,2.4,2.3,2.4,2.4,2.5,3,3.1,3.1,3.1,3.2,3.2,3.4,3.6,3.5,3.7,4.1,4.2,3.9,4,3.9,4,4.6,4.4,4.7
Bulgaria,32.5,35.2,38,40.3,42.2,39.2,39.3,41.5,42.6,42.7,39.9,36.4,34,35.9,36.5,39.3,40.9,39.7,39.1,35.8,38.7,40.7,41.2,40,39.2,41.3,42.2,40.9,41.9,39.7,42.7,46.9,44.2,40.8,44.3,44.7,41,41.1,41.3,39.3,36.4,41.3
Burkina Faso,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.5,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.9,1,1.1,1.4,1.6,1.7,1.6,1.7,1.6,1.7
Burma,1.4,1.4,1.5,1.6,1.8,2,2.1,2.2,2.1,2.4,2.4,2.6,2.9,3.3,3.5,3.9,3.8,4.3,3.9,4.4,4.9,4.5,5,5.3,5.4,5.8,6,6.2,6.4,6.8,7.4,9.6,10.7,12.2,14,15.7,17.5,20.2,22.8,24,23,22.4
